other_safegraph_place_id,other_location_name,other_city,other_state,other_top_category,other_sub_category
7dc238963a154dc0ae2bdbe918da4eea,,storrs,CT,"Museums, Historical Sites, and Similar Institutions",Museums
1bab01b0c25e48b7a2f689ff396e9d78,,suffield,CT,"Sporting Goods, Hobby, and Musical Instrument Stores",Musical Instrument and Supplies Stores
3a7b75f963cf3d5dbca1d2c9a2ebd089,,hamden,CT,Traveler Accommodation,Hotels (except Casino Hotels) and Motels
9d7ad40a36a74ad1867b5f4f836b0492,,west hartford,CT,Spectator Sports,Sports Teams and Clubs
c672050d29f04a1e9e3bd4c5213f32fe,,new britain,CT,Gasoline Stations,Gasoline Stations with Convenience Stores
c1786448fcf03846add0b64a328b596a,,mashantucket,CT,"Jewelry, Luggage, and Leather Goods Stores",Jewelry Stores
2a82ed5c2cc73e94ae69469317002fa2,,stonington,CT,Other Miscellaneous Manufacturing,
e256808d28004b60821487222f73641b,,north branford,CT,Gasoline Stations,Gasoline Stations with Convenience Stores
7b108a1849ae37219e528001a048971e,,mystic,CT,Used Merchandise Stores,Used Merchandise Stores
b5f31d17e1513405919eb915cc1a5695,,stonington,CT,Support Activities for Water Transportation,Port and Harbor Operations
7c121305d33445838129a6ce8706a03c,,madison,CT,Other Miscellaneous Manufacturing,Hardware Stores
876863073ff74f67a91c68475923471e,,north haven,CT,Restaurants and Other Eating Places,Limited-Service Restaurants
dfe93e82dcf54e1880d6ba13c7ddf901,,wallingford,CT,Building Material and Supplies Dealers,Home Centers
a840257ccfc142289703ce592c1c8ac7,,Springfield,ma,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions
afd1efd7f6a148d681014b35046a6d5c,,norwalk,CT,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions
a483036e25923f39a218881ab730ea74,,norwalk,CT,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores
209eb80daa6f3690bba456c46c4ed7d9,,norwalk,CT,Gasoline Stations,Gasoline Stations with Convenience Stores
47ca20b411f74bf1862dafcca9cecd6b,,norwalk,CT,Restaurants and Other Eating Places,Full-Service Restaurants
b49c762e5b6c44e98a23df07ad635968,,darien,CT,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions
f49116da664e43b7a02c204de5eca0bc,,norwalk,CT,Specialty Food Stores,Meat Markets
0df3f8a635a549b980216dc3806cd663,,new london,CT,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores
ec5d173ea28a3e37bf245425e3e3390b,,windsor locks,CT,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores"
88f91871f1cd3cf9b94a93e8fdf1e764,,glastonbury,CT,Building Finishing Contractors,Other Building Finishing Contractors
98e39a30f164349892d25bfda2040b2c,,glastonbury,CT,Bakeries and Tortilla Manufacturing,Retail Bakeries
ea39d228721343a78f363c13b0ba96ab,,New Milford,ct,"Sporting Goods, Hobby, and Musical Instrument Stores","Hobby, Toy, and Game Stores"
9b941a118df135f482d4a4d0da63e085,,torrington,CT,"Museums, Historical Sites, and Similar Institutions",Historical Sites
8828fc1c240a457993c8f16e34f2cbfb,,windsor locks,CT,Religious Organizations,Religious Organizations
c36df3454fc63f5c8ab72a10d587b216,,watertown,CT,Gasoline Stations,Gasoline Stations with Convenience Stores
0630a4bba61f3ef4a6f91ffd0dd936e2,,west haven,CT,Building Finishing Contractors,
dbc24f0e32fa4bff83c8857adb04050d,,branford,CT,Radio and Television Broadcasting,
721831363d6f313eb849d2aacf51e94a,,norwalk,CT,Restaurants and Other Eating Places,Full-Service Restaurants
8d1f8d990eab3fa4973bca4997a4483e,,norwalk,CT,Special Food Services,Caterers
893d7cd4e01b4ce18374e4483cb1feb3,,east longmeadow,MA,Specialty Food Stores,Confectionery and Nut Stores
17bc32b87eda49bc9c1250ea477fbbf6,,north haven,CT,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins)
70b0970b720f4a6e8a97fcb2a5688bac,,danbury,CT,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores"
1b353b5377d637acb5e762d51fe20919,,norwalk,CT,Other Miscellaneous Manufacturing,
5edaad6dd5934c89a4fb0f9ac0485837,,berlin,CT,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars
998791395717475bb746cc336b5b5ecc,,farmington,CT,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions
47359fdd136747dbaa439c180f593c88,,norwalk,CT,Restaurants and Other Eating Places,Full-Service Restaurants
6a3f94831ff0373c995f15bfc9a0cf3a,,oakville,CT,Other Miscellaneous Manufacturing,
