poi_idx,other_safegraph_place_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
44,004e9199d1da447d8adafa37de626e9b,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
45,0050261e29563960a2e40c221afceb30,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
46,0051d758c08146098674513e8fd74a67,-0.19186138,0.533048,-0.1919427,0.3287533,0.22989796,0.30405754,0.1398952,-0.19358921,-0.3540158,-0.4443367,-0.22101456,-0.23856202,0.039968528,0.20926653,-0.28263977,-0.16877481,-0.11318833,-0.32478437,0.03403476,-0.055376884,-0.37628,-0.17776138,0.21517316,0.133291,0.3898348,-0.25563753,-0.22733684,0.05444082,0.29621667,-0.09553624,-0.1098042,-0.05394571
47,00526396efd5485da14d3545f52f4cb4,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
48,0053241262fe4de98a1a52184f74b649,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
49,0055501441af3979b7c8111e0d304861,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
50,0056bf91c6134d70a41d9ecbc26adbb8,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
51,00578e2451dd4b5fa1faad0abc67b823,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
52,005c087d020c47d0a36fdda92d649e81,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
53,005e0d46e67d4bddb5ccd4cd9463a5d3,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
